,host_id,host_about,host_response_time,host_response_rate,host_is_superhost,host_verifications,calculated_host_listings_count,host_identity_verified,host_has_profile_pic
0,37177,"Athens Quality Apartments is a company started back at 2007 and now we have 8 apartments. Our goal is to offer to travelers beautiful apartments with professional service only in good location and with all the necessary amenities.
",,,t,"['email', 'phone', 'reviews', 'jumio', 'government_id']",6,t,t
5,121318,"Hey guys and many thanks for visiting my profile. I was born in Athens and I really love this amazing city. This is the main reason I bought and renovated 2 apartments, right in the most central part of the city. Having travelled a lot as well, I find that the interaction with the locals always gives you the right tips and makes the difference in the discovery of a new place. A tip: if you want ""feel"" a new city, first place to visit is the local outdoor market.",within an hour,100%,t,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'offline_government_id', 'identity_manual']",2,t,t
6,133845,"I work for one of Greece's major Charter Company.
I am sailor, love offshore sailing.
I have been ""a live aboard"" since 10 years.
I am Canadian, lived in France most of my adult live. 
The boat is in Greece, moving to different Islands.  
When you will be on board, the boat will not be moving.
I love cooking, great wine, people, places, stories, all music, opera, walking, swimming, and much more.
GUYS : Please, I am not looking for romance.",,,f,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'government_id', 'work_email']",1,t,t
7,146553,"Kind, respectful, generous and giving
",,,f,"['email', 'phone', 'reviews']",2,f,t
8,225612,"Hi everyone! My name is Stathis and I own Athens Direct Travel in Athens, Greece. My travel agency, among other services, manages vacation apartments in Athens and in Greece in general. In addition to the apts, Athens' Direct Travel Consultants can provide all travel services that guests might need, such as airport transfers, tours, boat tickets, etc. I hope to have the chance to host you and your family or friends in Greece!",within an hour,100%,t,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'government_id', 'work_email']",1,t,t
9,256676,Art. design and history addict.,a few days or more,0%,f,"['email', 'phone', 'facebook', 'reviews']",1,f,t
10,286911,"Hello to all my profile visitors. I am an outgoing and friendly girl, I LOVE to travel and always take the best of the experience. That is why I choose cosy and family places to be accomodated in. My goal is to make you feel like home and contribute as much as I can during your experience in Athens!!! I would be really happy to host each one of you!",within an hour,100%,f,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'selfie', 'government_id', 'identity_manual']",1,t,t
11,290864,Hello! My name is Mika. You are welcomed to come and stay at my apartment in Athens! If you have any questions feel free to ask!,,,f,"['email', 'phone', 'facebook', 'reviews', 'kba']",1,t,t
12,435867,"I was born in Athens and lived there until  I was 25. Then l lived on the beautiful island of Andros, a near- by island that was my vacation spot until 2004, when I decided that this was where I wanted to live permanently, away from the hustle and bustle of city life. During the summer months I work in a local hotel  as this is one of the best ways to meet people, especially travellers...  and who knows, maybe we will meet at some point in time... I also love travelling, meeting new people, learning new cultures  - and just seeing as much of the world as I can. As a traveller myself, I know what it means to have good accommodation, friendly hosts and good information.  So with this in mind I hope that I can fullfill all these requirements and ensure that your stay in Athens will be as you expecteded.
It will be my pleasure to do whatever I can to meet all your needs so that you return home with the best memories.",within an hour,75%,t,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'offline_government_id', 'government_id']",1,t,t
13,452494,Hello!My name is Aris.I live in Athens.I love travelling all over the world and meeting interesting people.,within a few hours,100%,f,"['email', 'phone', 'reviews']",1,f,t
