,id,neighbourhood_cleansed,reviews_per_month,room_type
0,10595,ΑΜΠΕΛΟΚΗΠΟΙ,0.41,Entire home/apt
1,10990,ΑΜΠΕΛΟΚΗΠΟΙ,0.72,Entire home/apt
2,10993,ΑΜΠΕΛΟΚΗΠΟΙ,0.97,Entire home/apt
3,10995,ΑΜΠΕΛΟΚΗΠΟΙ,0.33,Entire home/apt
4,27262,ΑΜΠΕΛΟΚΗΠΟΙ,0.23,Entire home/apt
5,28186,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,4.65,Entire home/apt
6,31155,ΚΕΡΑΜΕΙΚΟΣ,0.0,Private room
7,33945,ΑΓΙΟΣ ΝΙΚΟΛΑΟΣ,0.94,Entire home/apt
8,49489,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,1.45,Entire home/apt
9,54637,ΠΑΓΚΡΑΤΙ,0.03,Entire home/apt
10,59663,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,3.31,Entire home/apt
11,60394,ΣΤΑΔΙΟ,0.13,Entire home/apt
12,80598,ΑΚΑΔΗΜΙΑ ΠΛΑΤΩΝΟΣ,4.51,Entire home/apt
13,83097,ΣΤΑΔΙΟ,0.27,Entire home/apt
14,85539,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,0.0,Entire home/apt
15,119682,ΑΚΡΟΠΟΛΗ,1.19,Entire home/apt
16,131133,ΝΕΑ ΚΥΨΕΛΗ,0.58,Entire home/apt
17,133835,ΚΟΛΩΝΑΚΙ,0.07,Entire home/apt
18,133906,ΝΕΑ ΚΥΨΕΛΗ,0.45,Entire home/apt
19,138386,ΠΑΓΚΡΑΤΙ,0.66,Entire home/apt
20,154243,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,1.6,Entire home/apt
21,155654,ΑΚΡΟΠΟΛΗ,0.39,Entire home/apt
22,157869,ΣΤΑΔΙΟ,1.79,Entire home/apt
23,167416,ΠΑΤΗΣΙΑ,0.0,Entire home/apt
24,179705,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,1.02,Entire home/apt
25,185936,ΓΚΑΖΙ,0.0,Private room
