id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
25678448,sweet home in Athens 15 min from center and sea,186614918,Vasia,,ΝΕΟΣ ΚΟΣΜΟΣ,37.942,23.71453,Entire home/apt,43,1,273,2022-09-18,5.25,1,343,56,00000466773
36175508,📍Rooftop Studio near Metro Holargos - 5 Min Walk,62879164,Barbara,,ΠΕΝΤΑΓΩΝΟ,38.00445,23.79721,Entire home/apt,89,2,17,2022-09-14,0.43,1,357,9,00001443600
14801587,The top rated (99.8% 5-star) stay in whole Athens!,92466538,Pantelis & Grigoria,,ΠΕΤΡΑΛΩΝΑ,37.96153,23.70179,Entire home/apt,45,5,150,2022-09-16,2.05,2,187,12,00000068553
42384166,Practical Apartment,337177735,Dna,,ΝΕΟΣ ΚΟΣΜΟΣ,37.94835,23.70327,Entire home/apt,35,2,30,2022-09-01,0.96,1,360,21,00001374706
664108377231910173,LOVELY  1-BEDROOM RENTAL UNIT IN HALANDRI,312554982,Tony,,ΠΕΝΤΑΓΩΝΟ,38.0064368,23.794922,Entire home/apt,31,3,0,,,1,169,0,00510309163
31100111,Σπιτι 2ος κοντα στο ηλεκτρικο καλλιθεας Αττικης,90434832,Dimos,,ΠΕΤΡΑΛΩΝΑ,37.95633,23.69534,Entire home/apt,22,7,6,2020-10-06,0.15,3,74,0,
13091404,"A sunny,design home close to Athens center",66223092,Margi,,ΓΟΥΔΙ,37.97253,23.77607,Entire home/apt,89,3,0,,,1,358,0,
36967991,Lux Studio 1,277896558,Kalliopi,,ΠΕΤΡΑΛΩΝΑ,37.95672,23.69589,Entire home/apt,36,2,112,2022-09-08,2.91,2,325,15,00000770524
38652589,Το σπίτι της Δήμητρας,134650136,Argirios,,ΠΕΤΡΑΛΩΝΑ,37.95621,23.69508,Entire home/apt,35,1,6,2021-10-03,0.40,2,332,1,00000870664
638115689290380035,Όμορφο διαμέρισμα στον Άγιο Ιωάννη Ρέντη,461642253,Αικατερινη,,ΡΟΥΦ,37.96567,23.67686,Entire home/apt,80,2,0,,,1,364,0,00001592182
3099752,valashouse loft,15761917,Babis,,ΠΕΝΤΑΓΩΝΟ,38.00708,23.80543,Entire home/apt,73,1,74,2022-08-13,0.74,1,339,22,00000194468
20824802,Comfortable and Spacious 2 bdr Apt,748818,George,,ΠΕΤΡΑΛΩΝΑ,37.95961,23.7025,Entire home/apt,120,1,13,2022-07-25,0.26,76,363,9,1404941
21558402,Cosy Classic Functional apartment in Athens heart,111992849,Konstantino,,ΝΕΟΣ ΚΟΣΜΟΣ,37.95442,23.71165,Entire home/apt,49,3,8,2019-04-10,0.15,1,365,0,
4675592,VERY BEAUTIFUL HOUSE WITH GARDEN,23648844,Periklis,,ΠΕΝΤΑΓΩΝΟ,38.00594,23.78942,Entire home/apt,150,5,0,,,2,365,0,
40336772,Apartment for 2,311720446,Maria,,ΠΕΝΤΑΓΩΝΟ,38.0162,23.79201,Entire home/apt,52,2,0,,,1,89,0,
48930310,Διπλοκατοικία 4 χλμ από Ακρόπολη & ριβιέρα Αθήνας,354857013,Iason,,ΝΕΟΣ ΚΟΣΜΟΣ,37.94739,23.70969,Entire home/apt,195,4,14,2022-08-16,1.02,1,350,11,00001339870
34796120,Quality apartment in Αegaleo,262360777,Georgios,,ΡΟΥΦ,37.98711,23.67311,Entire home/apt,28,2,59,2022-09-17,1.47,1,18,8,00001741002
50311059,Raise Athens Metro Apartment 35,29885761,Raise Team,,ΝΕΟΣ ΚΟΣΜΟΣ,37.94925,23.7379,Entire home/apt,47,1,13,2022-04-06,0.87,53,234,9,00001136520
39038773,"Ομορφο, φωτεινό και ήσυχο δωμάτιο στου Ζωγράφου.",24993337,Irini,,ΓΟΥΔΙ,37.97085,23.77592,Private room,25,7,0,,,1,177,0,
50856313,Apt on Beautiful Athenian Pedestrian Street,180896799,HCS HΩRIZΩN Cyprus Services,,ΝΕΟΣ ΚΟΣΜΟΣ,37.95466,23.73055,Entire home/apt,44,1,1,2021-07-28,0.07,17,4,0,00001260224
43812200,Two Bedroom Apartment With Terrace -Convo 212-,349349351,Convo,,ΝΕΟΣ ΚΟΣΜΟΣ,37.95387,23.71281,Private room,126,1,53,2022-08-30,2.50,5,241,37,1159553
39735869,DIVANIS Apartment,48316133,Vasileios,,ΠΕΤΡΑΛΩΝΑ,37.95804,23.6987,Entire home/apt,75,3,6,2022-07-24,0.17,1,166,3,00000895645
622292466850815722,L apartment 2,133787480,Costas,,ΝΕΟΣ ΚΟΣΜΟΣ,37.947636,23.726276,Entire home/apt,65,3,4,2022-09-16,1.54,1,226,4,00001589867
646209560377823005,Raise Averof Serviced Apartment 41,29885761,Raise Team,,ΝΕΟΣ ΚΟΣΜΟΣ,37.9525478,23.736885,Entire home/apt,56,1,3,2022-08-23,1.02,53,325,3,1599813
